"ID";"Nomenclature_name";"Version";"Authors";"Species";"Strain";"Published";"Publication_type"
6;"Swanson_2004";3;"Swanson, LW";1;11;"2004";"Atlas"
7;"Paxinos & Watson_2007";6;"Paxinos, G; Watson, C";1;12;"2007";"Atlas"
9;"Paxinos et al_2015";1;"Paxinos, G; Watson, C; Calabrese, E; Badea, A; Johnson, AG";1;12;"2015";"Atlas"
10;"Paxinos et al_chemoarchitectonic_2009";2;"Paxinos, G; Watson, C; Carrive, P; Kirkcaldie, M; Ashwell, KWS";1;12;"2009";"Atlas"
11;"Paxinos & Watson_ 1998";4;"Paxinos, G; Watson, C";1;12;"1998";"Atlas"
12;"Swanson_1992";1;"Swanson, LW";1;11;"1992";"Atlas"
13;"Franklin & Paxinos_2007";3;"Franklin, KBJ; Paxinos, G";2;1;"2007";"Atlas"
14;"Paxinos & Watson_2013";7;"Paxinos, G; Watson, C";1;12;"2013";"Atlas"
17;"Allen mouse brain atlas_2008";1;"Dong, HW";2;1;"2008";"Atlas"
19;"Paxinos & Watson_2005";5;"Paxinos, G; Watson, C";1;12;"2005";"Atlas"
20;"Paxinos & Franklin_2001";2;"Paxinos, G; Franklin, KBJ";2;1;"2001";"Atlas"
21;"Custom_mouse";;;2;;;
22;"Custom_rat";;;1;;;
27;"Swanson_1998";2;"Swanson, LW";1;11;"1998";"Atlas"
28;"Paxinos_Watson_1986";2;"Paxinos, G; Watson, C";1;12;"1986";"Atlas"
29;"Franklin_Paxinos_1996";1;"Franklin, KBJ; Paxinos, G";2;1;"1996";"Atlas"
